county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Warren,Oxford,"2,514",1.63,1.51,3.78,6.13,12.37
Warren,Knowlton,"3,055",0.92,0.92,3.63,4.45,12.67
Warren,Lopatcong,"8,014",6.03,4.18,5.99,5.52,18.08
Atlantic,Buena,"4,603",9.43,1.78,29.42,6.58,14.19
Atlantic,Buena Vista,"7,570",13.45,1.06,11.48,4.83,16.41
Atlantic,Absecon,"8,411",9.89,7.93,7.5,5.53,17.01
Atlantic,Atlantic City,"39,558",38.29,15.55,30.45,7.78,12.73
Bergen,Dumont,"17,479",2.55,14.99,14.76,4.84,15.48
Bergen,Englewood,"27,147",32.58,8.1,27.48,6.57,14.21
Bergen,Englewood Cliffs,"5,281",2.08,38.52,5.98,4.77,24.09
Bergen,East Rutherford,"8,913",4.5,13.93,17.54,5.52,13.46
Bergen,Elmwood Park,"19,403",5.25,10.72,21.22,5.9,14.73
Bergen,Garfield,"30,487",6.5,2.22,32.24,6.87,11.22
Bergen,Hackensack,"43,010",24.44,10.3,35.31,6.45,12.36
Monmouth,Roosevelt,882,0.91,3.17,5.9,5.67,13.72
Bergen,Fairview,"13,835",2.94,4.63,54.63,6.4,12.04
Monmouth,Sea Bright,"1,412",0.78,2.27,5.52,3.9,14.52
Bergen,Franklin Lakes,"10,590",1.41,7.34,4.96,4.11,16.43
Monmouth,Ocean Twp,"27,291",7.96,6.56,8.99,5.34,15.32
Monmouth,Red Bank,"12,206",12.42,1.85,34.39,7.23,12.67
Bergen,Harrington Park,"4,664",0.69,17.43,3.49,4.14,14.94
Monmouth,Monmouth Beach,"3,279",0.34,0.73,1.89,3.93,21.5
Monmouth,Neptune City,"4,869",10.62,4.46,10.08,5.2,15.34
Warren,Independence,"5,662",1.22,2.23,5.42,5.55,10.86
Monmouth,Marlboro,"40,191",2.09,17.27,4.03,5.06,11.31
Warren,Hope,"1,952",1.18,1.59,4.1,4.56,14.7
Monmouth,Middletown,"66,522",1.31,2.6,5.37,5.68,14.02
Monmouth,Long Branch,"30,719",14.21,2.13,28.07,7.21,11.3
Monmouth,Manasquan,"5,897",0.31,0.61,7.02,4.71,16.35
Atlantic,Hamilton,"26,503",18.55,5.41,12.79,6.06,10.52
Atlantic,Longport,895,0.34,0.45,1.12,1.34,37.65
Atlantic,Somers Point,"10,795",10.68,3.08,9.49,5.97,14.61
Monmouth,Sea Girt,"1,828",0,0.22,1.64,3.67,29.87
Bergen,Allendale,"6,505",0.51,9.64,4.67,5.18,14.53
Bergen,Bogota,"8,187",9.42,9.81,38.71,5.75,11.65
Bergen,Cliffside Park,"23,594",3.29,13.78,28.41,5.97,17.51
Bergen,Demarest,"4,881",0.64,26.41,4.43,4.32,14.42
Bergen,Ho-Ho-Kus,"4,078",0.22,5.79,4.12,6.15,15.96
Bergen,Haworth,"3,382",1.15,11.89,4.38,4.88,15.26
Bergen,Leonia,"8,937",2.34,35.12,16.66,4.52,15.12
Bergen,Lodi,"24,136",7.52,8.57,30.49,6.08,13.1
Bergen,Lyndhurst,"20,554",1.98,6.59,18.34,5.38,15.66
Bergen,Maywood,"9,555",5.34,10.98,18.68,6.04,15.66
Bergen,Midland Park,"7,128",0.84,2.69,6.65,5.63,16.02
Bergen,Moonachie,"2,708",1.4,10.04,24.37,4.28,16.17
Bergen,New Milford,"16,341",3.72,19.39,13.63,5.17,15.78
Bergen,Northvale,"4,640",1.06,24.01,8.15,4.61,14.63
Monmouth,West Long Branch,"8,097",2.21,1.19,5.03,3.8,13.65
Morris,Boonton Twp,"4,263",1.55,3.99,4.18,3.8,18.06
Mercer,Princeton (as of 1/1/2013),"28,572",5.61,13.89,8.37,3.72,14.05
Monmouth,Shrewsbury Twp,"1,141",14.29,6.57,14.11,5,17.97
Atlantic,Corbin City,492,0.41,1.22,3.46,7.11,12.2
Monmouth,Spring Lake Heights,"4,713",0.64,1.08,3.29,3.01,25.84
Monmouth,Union Beach,"6,245",1.54,1.81,10.98,5.97,9.26
Atlantic,Folsom,"1,885",4.19,0.85,6.74,4.62,11.14
Monmouth,Upper Freehold,"6,902",2.01,4.35,3.68,5.13,13.97
Atlantic,Egg Harbor,"4,243",17.94,2.22,26.28,6.79,11.81
Passaic,Pompton Lakes,"11,097",1.41,5.39,10.89,5.55,12.67
Passaic,North Haledon,"8,417",1.76,3.78,7.46,5.6,20.3
Passaic,Wayne,"54,717",2.28,8.18,7.92,4.49,17.01
Passaic,Ringwood,"12,228",1.36,1.74,5.78,5.63,11.34
Ocean,Surf City,"1,205",1.33,0.58,5.06,2.24,38.59
Ocean,Seaside Heights,"2,887",6.69,1.52,17.87,6.69,8.31
Passaic,Haledon,"8,318",11.77,6.35,41.6,6.73,10.45
Passaic,Bloomingdale,"7,656",1.14,2.46,9.33,5.62,14.84
Salem,Elmer,"1,395",2.15,0.79,3.15,5.52,13.98
Salem,Mannington,"1,806",21.1,0.44,8.19,4.71,17.44
Hunterdon,Lebanon Twp,"6,588",1.68,1.47,3.11,3.96,15.16
Hunterdon,Raritan Twp,"22,185",2.07,5.95,5.13,4.99,12.04
Hunterdon,Kingwood,"3,845",0.65,1.09,2.39,4.5,12.9
Hunterdon,Lebanon,"1,358",1.77,5.23,5.01,6.63,13.18
Hunterdon,West Amwell,"3,840",13.39,1.46,4.84,3.62,11.38
Hunterdon,Readington,"16,126",1.33,3.6,3.93,4.68,13.54
Hunterdon,Tewksbury,"5,993",0.83,2.92,3.49,4,16.3
Hunterdon,Hampton Boro,"1,401",2.5,1.86,5.35,5.28,13.42
Hunterdon,High Bridge,"3,648",1.32,3.18,6,6.88,8.61
Hunterdon,Frenchtown,"1,373",0.8,0.95,5.1,6.41,11.29
Camden,Tavistock,5,0,0,0,0,60
Camden,Winslow,"39,499",36.17,3.1,8.1,7.01,10.61
Camden,Pine Hill,"10,233",24.07,2.12,6.74,7.53,8.72
Camden,Somerdale,"5,151",18.99,6,8.19,5.53,15.32
Cape May,Stone Harbor,866,1.62,0.12,3.35,2.31,41.57
Cape May,Lower Township,"22,866",1.99,0.62,4.24,4.99,21.13
Cape May,Ocean City,"11,701",3.5,0.71,5.5,3.15,29.66
Cumberland,Hopewell,"4,571",6.58,0.57,7.33,4.48,20.65
Cumberland,Commercial,"5,178",10.24,0.52,6.1,6.93,11.66
Cape May,Wildwood Crest,"3,270",1.68,1.01,5.63,4.07,26.42
Cape May,West Cape May,"1,024",8.69,0.2,4.98,2.54,28.52
Burlington,Springfield,"3,414",3.81,2.55,3.72,3.46,13.27
Burlington,Westampton,"8,813",25.45,6.9,8.84,6.38,10.37
Burlington,Woodland,"1,788",8.11,0.84,4.81,4.53,10.46
Camden,Berlin,"7,588",4.19,2.78,3.12,5.46,16.88
Camden,Brooklawn,"1,955",5.32,2.2,6.29,6.65,11.2
Camden,Chesilhurst,"1,634",46.39,0.86,11.57,4.22,19.71
Camden,Gibbsboro,"2,274",2.15,2.33,4.09,5.76,14.82
Camden,Gloucester Twp,"64,634",16.19,3.67,5.65,5.95,11.02
Camden,Haddonfield,"11,593",1.11,1.85,2.14,5.96,14.98
Camden,Oaklyn,"4,038",2.48,1.81,5.37,6.44,11.34
Camden,Magnolia,"4,341",18.27,1.89,7.83,6.17,12.19
Burlington,Riverton,"2,779",3.31,0.76,2.02,6.3,17.92
Burlington,Pemberton,"1,409",15.26,3.26,12.7,6.53,13.27
Burlington,Riverside,"8,079",6.39,0.95,11.34,6.98,10.52
Burlington,North Hanover,"7,678",9.33,1.89,10.43,10.25,8.44
Burlington,Palmyra,"7,398",14.54,1.84,5.37,6.54,13.15
Burlington,Mount Laurel,"41,864",9.7,7.26,4.56,5.33,16.06
Burlington,New Hanover,"7,385",33.57,2.04,20.96,2.33,3.74
Burlington,Medford,"23,033",1.53,2.03,2.6,4.94,13.95
Burlington,Mount Holly,"9,536",23.1,1.47,12.69,6.56,11.05
Burlington,Southampton,"10,464",2.21,1.33,2.15,3.41,31.99
Burlington,Shamong,"6,490",0.92,0.59,2.3,4.84,9.8
Burlington,Medford Lakes,"4,146",0.46,0.96,1.69,6.13,14.74
Hunterdon,Union Twp,"5,908",9.06,4.13,6.08,3.33,9.61
Hunterdon,Stockton,538,0,0.93,0.56,5.58,18.03
Hunterdon,Lambertville,"3,906",1.95,1.31,9.75,4.53,17.36
Mercer,Lawrence,"33,472",10.76,14.1,7.48,5.47,13.78
Mercer,Trenton,"84,913",52.01,1.19,33.71,7.95,8.76
Mercer,Ewing,"35,790",27.62,4.3,7.62,4.17,14.74
Mercer,Hightstown,"5,494",8.05,4.08,30.29,7.03,9.65
Middlesex,Highland Park,"13,982",7.83,17.84,8.95,5.82,11.58
Middlesex,Middlesex Borough,"13,635",5.13,6,16.47,5.53,13.81
Middlesex,Carteret,"22,844",14.85,19.04,30.93,6.72,10.76
Middlesex,East Brunswick,"47,512",3.98,22.8,6.7,4.61,13.52
Hudson,Bayonne,"63,024",8.86,7.71,25.79,6.1,13.21
Gloucester,Woodbury Heights,"3,055",3.4,1.64,2.42,5.37,13.58
Hudson,Jersey City,"247,597",25.85,23.67,27.57,7.07,9.03
Hudson,Harrison,"13,620",2.18,16.28,44.18,6.3,9.27
Hudson,Secaucus,"16,264",4.11,20.4,18.6,5.36,15.6
Hunterdon,Bethlehem,"3,979",0.98,1.88,4.02,4.25,9.7
Hunterdon,Clinton,"2,719",1.32,6.66,6.22,6.18,11.55
Hunterdon,Delaware,"4,563",0.66,0.92,2.45,3.59,16.11
Hunterdon,Franklin Twp,"3,195",0.69,1.25,3.44,4.66,15.34
Hunterdon,Glen Gardner,"1,704",1.76,1.82,5.28,3.76,8.8
Hunterdon,Holland,"5,291",0.72,0.77,2.68,4.74,16.01
Gloucester,Paulsboro,"6,097",36.72,0.71,8.89,8.07,11.45
